timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779043438643,11,PUT Character,200,OK,Thread Group 1-890,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438643,11,PUT Character,200,OK,Thread Group 1-899,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438643,11,PUT Character,200,OK,Thread Group 1-895,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438643,11,PUT Character,200,OK,Thread Group 1-886,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438643,11,PUT Character,200,OK,Thread Group 1-891,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438643,11,PUT Character,200,OK,Thread Group 1-900,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438643,11,PUT Character,200,OK,Thread Group 1-885,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438643,12,PUT Character,200,OK,Thread Group 1-894,text,true,,270,210,195,195,http://localhost:3001/character/2,12,0,0
1779043438643,12,PUT Character,200,OK,Thread Group 1-882,text,true,,270,210,195,195,http://localhost:3001/character/2,12,0,0
1779043438643,12,PUT Character,200,OK,Thread Group 1-888,text,true,,270,210,195,195,http://localhost:3001/character/2,12,0,0
1779043438643,12,PUT Character,200,OK,Thread Group 1-880,text,true,,270,210,195,195,http://localhost:3001/character/2,12,0,0
1779043438644,11,PUT Character,200,OK,Thread Group 1-889,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438644,11,PUT Character,200,OK,Thread Group 1-877,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438644,11,PUT Character,200,OK,Thread Group 1-887,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438644,11,PUT Character,200,OK,Thread Group 1-874,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438644,11,PUT Character,200,OK,Thread Group 1-883,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438644,11,PUT Character,200,OK,Thread Group 1-879,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438644,11,PUT Character,200,OK,Thread Group 1-884,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438644,11,PUT Character,200,OK,Thread Group 1-881,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438644,11,PUT Character,200,OK,Thread Group 1-875,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438644,12,PUT Character,200,OK,Thread Group 1-878,text,true,,270,210,195,195,http://localhost:3001/character/2,12,0,0
1779043438644,12,PUT Character,200,OK,Thread Group 1-876,text,true,,270,210,195,195,http://localhost:3001/character/2,12,0,0
1779043438644,12,PUT Character,200,OK,Thread Group 1-840,text,true,,270,210,195,195,http://localhost:3001/character/2,12,0,0
1779043438644,12,GET Character by ID,200,OK,Thread Group 1-915,text,true,,264,160,195,195,http://localhost:3001/character/1,12,0,0
1779043438645,11,GET Character by ID,200,OK,Thread Group 1-933,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438645,11,GET Character by ID,200,OK,Thread Group 1-916,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438645,11,GET Character by ID,200,OK,Thread Group 1-935,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438645,11,GET Character by ID,200,OK,Thread Group 1-927,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438645,11,GET Character by ID,200,OK,Thread Group 1-909,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438645,11,GET Character by ID,200,OK,Thread Group 1-921,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438645,11,GET Character by ID,200,OK,Thread Group 1-910,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438645,11,GET Character by ID,200,OK,Thread Group 1-918,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438645,11,GET Character by ID,200,OK,Thread Group 1-941,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438645,11,GET Character by ID,200,OK,Thread Group 1-926,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438645,12,GET Character by ID,200,OK,Thread Group 1-930,text,true,,264,160,195,195,http://localhost:3001/character/1,12,0,0
1779043438645,12,GET Character by ID,200,OK,Thread Group 1-934,text,true,,264,160,195,195,http://localhost:3001/character/1,12,0,0
1779043438645,12,GET Character by ID,200,OK,Thread Group 1-936,text,true,,264,160,195,195,http://localhost:3001/character/1,12,0,0
1779043438646,11,GET Character by ID,200,OK,Thread Group 1-929,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438646,11,GET Character by ID,200,OK,Thread Group 1-939,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438646,11,GET Character by ID,200,OK,Thread Group 1-931,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438646,11,GET Character by ID,200,OK,Thread Group 1-938,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438646,11,GET Character by ID,200,OK,Thread Group 1-932,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438646,11,GET Character by ID,200,OK,Thread Group 1-925,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438646,11,GET Character by ID,200,OK,Thread Group 1-919,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438646,11,GET Character by ID,200,OK,Thread Group 1-911,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438646,11,GET Character by ID,200,OK,Thread Group 1-920,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438646,11,GET Character by ID,200,OK,Thread Group 1-908,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438646,12,GET Character by ID,200,OK,Thread Group 1-928,text,true,,264,160,195,195,http://localhost:3001/character/1,12,0,0
1779043438646,12,GET Character by ID,200,OK,Thread Group 1-923,text,true,,264,160,195,195,http://localhost:3001/character/1,12,0,0
1779043438646,12,GET Character by ID,200,OK,Thread Group 1-924,text,true,,264,160,195,195,http://localhost:3001/character/1,12,0,0
1779043438647,11,GET Character by ID,200,OK,Thread Group 1-912,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438647,11,GET Character by ID,200,OK,Thread Group 1-914,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438647,11,GET Character by ID,200,OK,Thread Group 1-922,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438647,11,GET Character by ID,200,OK,Thread Group 1-917,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438647,11,GET Character by ID,200,OK,Thread Group 1-913,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438647,11,GET Character by ID,200,OK,Thread Group 1-906,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438647,11,GET Character by ID,200,OK,Thread Group 1-902,text,true,,264,160,195,195,http://localhost:3001/character/1,11,0,0
1779043438627,31,GET Character by ID,200,OK,Thread Group 1-873,text,true,,264,160,195,195,http://localhost:3001/character/1,31,0,0
1779043438630,28,POST Character,201,Created,Thread Group 1-965,text,true,,278,223,195,195,http://localhost:3001/character,28,0,0
1779043438630,29,POST Character,201,Created,Thread Group 1-972,text,true,,278,223,195,195,http://localhost:3001/character,29,0,0
1779043438630,29,POST Character,201,Created,Thread Group 1-970,text,true,,278,223,195,195,http://localhost:3001/character,29,0,0
1779043438630,29,POST Character,201,Created,Thread Group 1-976,text,true,,278,223,195,195,http://localhost:3001/character,29,0,0
1779043438630,29,POST Character,201,Created,Thread Group 1-975,text,true,,278,223,195,195,http://localhost:3001/character,29,0,0
1779043438629,30,POST Character,201,Created,Thread Group 1-969,text,true,,278,223,195,195,http://localhost:3001/character,30,0,0
1779043438630,29,POST Character,201,Created,Thread Group 1-968,text,true,,278,223,195,195,http://localhost:3001/character,29,0,0
1779043438629,30,POST Character,201,Created,Thread Group 1-973,text,true,,278,223,195,195,http://localhost:3001/character,30,0,0
1779043438630,29,POST Character,201,Created,Thread Group 1-979,text,true,,278,223,195,195,http://localhost:3001/character,29,0,0
1779043438630,29,POST Character,201,Created,Thread Group 1-978,text,true,,278,223,195,195,http://localhost:3001/character,29,0,0
1779043438630,29,POST Character,201,Created,Thread Group 1-971,text,true,,278,223,195,195,http://localhost:3001/character,29,0,0
1779043438630,29,POST Character,201,Created,Thread Group 1-963,text,true,,278,223,195,195,http://localhost:3001/character,29,0,0
1779043438630,30,POST Character,201,Created,Thread Group 1-966,text,true,,278,223,195,195,http://localhost:3001/character,30,0,0
1779043438630,30,POST Character,201,Created,Thread Group 1-967,text,true,,278,223,195,195,http://localhost:3001/character,30,0,0
1779043438630,30,POST Character,201,Created,Thread Group 1-962,text,true,,278,223,195,195,http://localhost:3001/character,30,0,0
1779043438630,30,POST Character,201,Created,Thread Group 1-961,text,true,,278,223,195,195,http://localhost:3001/character,30,0,0
1779043438630,30,POST Character,201,Created,Thread Group 1-954,text,true,,278,223,195,195,http://localhost:3001/character,30,0,0
1779043438630,30,POST Character,201,Created,Thread Group 1-964,text,true,,278,223,195,195,http://localhost:3001/character,30,0,0
1779043438630,30,POST Character,201,Created,Thread Group 1-958,text,true,,278,223,195,195,http://localhost:3001/character,30,0,0
1779043438630,30,POST Character,201,Created,Thread Group 1-960,text,true,,278,223,195,195,http://localhost:3001/character,30,0,0
1779043438630,30,POST Character,201,Created,Thread Group 1-956,text,true,,278,223,195,195,http://localhost:3001/character,30,0,0
1779043438630,30,POST Character,201,Created,Thread Group 1-959,text,true,,278,223,195,195,http://localhost:3001/character,30,0,0
1779043438630,30,POST Character,201,Created,Thread Group 1-953,text,true,,278,223,195,195,http://localhost:3001/character,30,0,0
